epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.542,1.83925,2.01838,1.18054,0.70901,0.62782,0.66854,0.34209,1.6224,1.09576,1.06874,0.00332572,0.00332572,0.00332572
2,290.783,1.69264,1.1955,1.09445,0.75905,0.67597,0.74184,0.37643,1.57218,1.05858,1.06382,0.00659313,0.00659313,0.00659313
3,431.353,1.67953,1.13114,1.09159,0.75901,0.72329,0.75991,0.39157,1.54029,0.97386,1.05095,0.00979454,0.00979454,0.00979454
4,577.01,1.62447,1.0093,1.07347,0.75997,0.701,0.75735,0.36348,1.5851,1.01306,1.05808,0.009703,0.009703,0.009703
5,722.946,1.55885,0.90469,1.05441,0.80056,0.7774,0.82567,0.43954,1.39289,0.77918,1.01203,0.009604,0.009604,0.009604
6,872.04,1.5001,0.83848,1.03735,0.81189,0.76155,0.83099,0.45761,1.36327,0.74595,0.99892,0.009505,0.009505,0.009505
7,1017.55,1.46921,0.79737,1.02616,0.82843,0.79959,0.85115,0.4738,1.33668,0.72603,0.98886,0.009406,0.009406,0.009406
8,1161.16,1.43228,0.76342,1.01611,0.84006,0.81194,0.85932,0.48496,1.30433,0.6791,0.98041,0.009307,0.009307,0.009307
9,1306.2,1.41189,0.74134,1.0106,0.86297,0.79272,0.87036,0.50806,1.26379,0.6726,0.97251,0.009208,0.009208,0.009208
10,1450,1.38865,0.72562,1.00379,0.84198,0.81277,0.8715,0.50831,1.26759,0.66919,0.97222,0.009109,0.009109,0.009109
11,1594.47,1.3645,0.7076,0.99729,0.85814,0.82618,0.87964,0.51406,1.23728,0.64148,0.96072,0.00901,0.00901,0.00901
12,1738.69,1.34397,0.69714,0.98916,0.86072,0.81766,0.88417,0.5305,1.19938,0.62581,0.95125,0.008911,0.008911,0.008911
13,1882.24,1.33189,0.68642,0.98551,0.8665,0.84163,0.89491,0.53953,1.20463,0.62253,0.95436,0.008812,0.008812,0.008812
14,2027.05,1.31584,0.67829,0.98164,0.86362,0.82617,0.89296,0.54381,1.1923,0.61271,0.94785,0.008713,0.008713,0.008713
15,2171.1,1.29697,0.66543,0.97714,0.87108,0.81794,0.8919,0.54236,1.17468,0.61813,0.94908,0.008614,0.008614,0.008614
16,2315.24,1.2833,0.65827,0.97368,0.88304,0.85542,0.90789,0.56574,1.14499,0.59024,0.93955,0.008515,0.008515,0.008515
17,2459.19,1.27212,0.65141,0.9706,0.88487,0.8433,0.90564,0.56578,1.1483,0.58065,0.93689,0.008416,0.008416,0.008416
18,2602.22,1.26336,0.64409,0.96877,0.87998,0.84993,0.90759,0.57525,1.11571,0.57498,0.93001,0.008317,0.008317,0.008317
19,2744,1.24384,0.63455,0.96265,0.88784,0.84738,0.91103,0.57414,1.11555,0.56486,0.92997,0.008218,0.008218,0.008218
